11:53:56.683 -> X:  -144  	Y:  1216  	Z:  15712		X: -0.09 	Y: 0.73 	Z: 9.41 m/s^2 
11:53:56.954 -> X:  -112  	Y:  1200  	Z:  15616		X: -0.07 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:57.195 -> X:  -160  	Y:  1216  	Z:  15584		X: -0.10 	Y: 0.73 	Z: 9.33 m/s^2 
11:53:57.439 -> X:  -96  	Y:  1184  	Z:  15696		X: -0.06 	Y: 0.71 	Z: 9.40 m/s^2 
11:53:57.711 -> X:  -96  	Y:  1200  	Z:  15616		X: -0.06 	Y: 0.72 	Z: 9.35 m/s^2 
11:53:57.951 -> X:  -112  	Y:  1168  	Z:  15664		X: -0.07 	Y: 0.70 	Z: 9.38 m/s^2 
11:53:58.226 -> X:  -128  	Y:  1216  	Z:  15632		X: -0.08 	Y: 0.73 	Z: 9.36 m/s^2 
11:53:58.467 -> X:  -128  	Y:  1184  	Z:  15632		X: -0.08 	Y: 0.71 	Z: 9.36 m/s^2 
11:53:58.741 -> X:  -112  	Y:  1088  	Z:  15600		X: -0.07 	Y: 0.65 	Z: 9.34 m/s^2 
11:53:58.981 -> X:  -96  	Y:  1200  	Z:  15664		X: -0.06 	Y: 0.72 	Z: 9.38 m/s^2 
11:53:59.259 -> X:  -160  	Y:  1232  	Z:  15648		X: -0.10 	Y: 0.74 	Z: 9.37 m/s^2 
11:53:59.499 -> X:  -176  	Y:  1152  	Z:  15616		X: -0.11 	Y: 0.69 	Z: 9.35 m/s^2 
11:53:59.770 -> X:  -96  	Y:  1200  	Z:  15696		X: 0.06 	Y: 0.77 	Z: 9.03 m/s^2 
11:54:00.009 -> X:  -112  	Y:  1248  	Z:  15568		X: -0.07 	Y: 0.75 	Z: 9.32 m/s^2 
11:54:00.250 -> X:  -96  	Y:  1216  	Z:  15696		X: -0.06 	Y: 0.73 	Z: 9.40 m/s^2 
11:54:00.522 -> X:  -96  	Y:  1168  	Z:  15584		X: -0.06 	Y: 0.70 	Z: 9.33 m/s^2 
11:54:00.763 -> X:  -192  	Y:  1232  	Z:  15616		X: -0.11 	Y: 0.74 	Z: 9.35 m/s^2 
11:54:01.033 -> X:  -144  	Y:  1248  	Z:  15648		X: -0.09 	Y: 0.75 	Z: 9.37 m/s^2 
11:54:01.273 -> X:  -96  	Y:  1168  	Z:  15632		X: -0.06 	Y: 0.70 	Z: 9.36 m/s^2 
11:54:01.551 -> X:  -144  	Y:  1248  	Z:  15680		X: -0.09 	Y: 0.75 	Z: 9.39 m/s^2 
11:54:01.792 -> X:  -144  	Y:  1248  	Z:  15712		X: -0.09 	Y: 0.75 	Z: 9.41 m/s^2 
11:54:02.067 -> X:  -128  	Y:  1216  	Z:  15664		X: -0.08 	Y: 0.73 	Z: 9.38 m/s^2 
11:54:02.304 -> X:  -176  	Y:  1168  	Z:  15664		X: -0.11 	Y: 0.70 	Z: 9.38 m/s^2 
11:54:02.544 -> X:  -96  	Y:  1248  	Z:  15664		X: -0.06 	Y: 0.75 	Z: 9.38 m/s^2 
