16:35:33.465 -> Raw sensor readings from photoresistor
16:35:54.173 -> Photoresistor Raw Output = 434
16:35:54.213 -> Photoresistor Raw Output = 438
16:35:54.293 -> Photoresistor Raw Output = 442
16:35:54.333 -> Photoresistor Raw Output = 448
16:35:54.373 -> Photoresistor Raw Output = 454
16:35:54.413 -> Photoresistor Raw Output = 459
16:35:54.493 -> Photoresistor Raw Output = 466
16:35:54.533 -> Photoresistor Raw Output = 471
16:35:54.573 -> Photoresistor Raw Output = 476
16:35:54.613 -> Photoresistor Raw Output = 482
16:35:54.693 -> Photoresistor Raw Output = 488
16:35:54.733 -> Photoresistor Raw Output = 494
16:35:54.773 -> Photoresistor Raw Output = 500
16:35:54.813 -> Photoresistor Raw Output = 505
16:35:54.893 -> Photoresistor Raw Output = 510
16:35:54.933 -> Photoresistor Raw Output = 515
16:35:54.973 -> Photoresistor Raw Output = 519
16:35:55.053 -> Photoresistor Raw Output = 523
16:35:55.093 -> Photoresistor Raw Output = 528
16:35:55.133 -> Photoresistor Raw Output = 532
16:35:55.173 -> Photoresistor Raw Output = 537
16:35:55.254 -> Photoresistor Raw Output = 543
16:35:55.294 -> Photoresistor Raw Output = 547
16:35:55.333 -> Photoresistor Raw Output = 552
16:35:55.373 -> Photoresistor Raw Output = 557
16:35:55.453 -> Photoresistor Raw Output = 562
16:35:55.493 -> Photoresistor Raw Output = 566
16:35:55.533 -> Photoresistor Raw Output = 570
16:35:55.573 -> Photoresistor Raw Output = 574
16:35:55.653 -> Photoresistor Raw Output = 579
16:35:55.693 -> Photoresistor Raw Output = 584
16:35:55.733 -> Photoresistor Raw Output = 588
16:35:55.773 -> Photoresistor Raw Output = 593
16:35:55.848 -> Photoresistor Raw Output = 599
16:35:55.888 -> Photoresistor Raw Output = 606
16:35:55.928 -> Photoresistor Raw Output = 613
16:35:56.008 -> Photoresistor Raw Output = 621
16:35:56.048 -> Photoresistor Raw Output = 629
16:35:56.088 -> Photoresistor Raw Output = 635
16:35:56.128 -> Photoresistor Raw Output = 640
16:35:56.208 -> Photoresistor Raw Output = 643
